,Title,Organization,Skills,Ratings,course_url,course_students_enrolled,course_description,Review Count,Difficulty,Type,Duration
516,Cloud Networking,University of Illinois at Urbana-Champaign," Cloud Computing, Computer Networking, Cloud Infrastructure, Network Architecture, Software-Defined Networking, Network Analysis, Computer Programming, Python Programming",4.4,,,,300,Mixed,Course,1 - 3 Months
517,Essential Cloud Infrastructure: Core Services em Português Brasileiro,Google Cloud," Cloud Computing, Google Cloud Platform",4.7,,,,146,Intermediate,Course,1 - 3 Months
518,Cloud Systems Software,Georgia Institute of Technology, Cloud Computing,4.6,,,,77,Mixed,Course,1 - 3 Months
519,Alibaba Cloud Computing,Alibaba Cloud Academy," Cloud Computing, Security Engineering, System Security, Network Security, Security Software, Software Security, Big Data",4.6,,,,120,Beginner,Specialization,3 - 6 Months
520,Spring - Cloud Overview,LearnQuest," Cloud Computing, Cloud Load Balancing, Software Architecture, Software Framework, Web Development",4.3,,,,46,Intermediate,Course,1 - 4 Weeks
521,Infrastructure and Application Modernization with Google Cloud,Google Cloud," Cloud Applications, Cloud Clients, Cloud Computing, Cloud Infrastructure, Cloud Platforms, Cloud-Based Integration, Google Cloud Platform, Kubernetes, Other Cloud Platforms and Tools, Cloud API, Google App Engine",4.7,,,,1.5K,Beginner,Course,1 - 3 Months
522,Elastic Cloud Infrastructure: Scaling and Automation en Español,Google Cloud," Cloud Computing, Cloud Infrastructure",4.9,,,,162,Intermediate,Course,1 - 3 Months
523,Developing Cloud Native Applications,IBM," Cloud Applications, Cloud Computing, IBM Cloud, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Continuous Integration, DevOps, Continuous Delivery, Software As A Service, Web Development Tools, NoSQL",4.1,,,,261,Intermediate,Course,1 - 3 Months
524,Developing Applications with Google Cloud 日本語版,Google Cloud," Google Cloud Platform, Cloud Platforms, Databases, Cloud Computing, Cloud API, Cloud Applications, Data Management, Cloud Storage, Computer Architecture, Computer Networking, Business Analysis, Data Analysis, Data Architecture, Kubernetes, Application Development",4.5,,,,731,Intermediate,Specialization,3 - 6 Months
525,Applying Machine Learning to your Data with Google Cloud,Google Cloud," Applied Machine Learning, Big Data, Cloud Computing, Data Analysis, Google Cloud Platform, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, SQL",4.7,,,,1.1K,Beginner,Course,1 - 3 Months
526,Serverless Data Processing with Dataflow,Google Cloud," Google Cloud Platform, Cloud Computing, Cloud Platforms, Apache, Extract, Transform, Load, Cloud Engineering, Computer Architecture, Distributed Computing Architecture, Big Data, DevOps, Data Management",4.1,,,,98,Intermediate,Specialization,3 - 6 Months
527,Essential Cloud Infrastructure: Foundation - Français,Google Cloud, Google Cloud Platform,4.6,,,,15,Intermediate,Course,1 - 3 Months
528,"Cloud Virtualization, Containers and APIs",Duke University," Cloud Computing, Continuous Delivery, Continuous Integration, DevOps, Devops Tools, Cloud Applications, Software Architecture, Software Engineering",4.4,,,,90,Beginner,Course,1 - 4 Weeks
529,Microsoft Azure for Data Engineering,Microsoft," Big Data, Cloud Computing, Cloud Platforms, Cloud Storage, Cloud-Based Integration, Data Architecture, Data Management, Data Warehousing, Databases, Microsoft Azure, Leadership and Management",4.5,,,,498,Intermediate,Course,1 - 4 Weeks
530,Google Cloud Infrastructure for Azure Professionals,Google Cloud," Cloud Computing, Cloud Platforms, Google App Engine, Google Cloud Platform",4.6,,,,244,Intermediate,Specialization,1 - 3 Months
531,Gmail,Google Cloud," Communication, User Experience, Google Cloud Platform, Leadership and Management, Business Communication, Business Process Management, Collaboration, Organizational Development, Problem Solving, Professional Development, Cloud Computing, Cloud Platforms",4.8,,,,787,Beginner,Course,1 - 3 Months
532,Developing Cloud Apps with Node.js and React,IBM," Javascript, Computer Programming, Web Development, Cloud Computing, Computer Science, IBM Cloud, React (web framework)",4.0,,,,226,Intermediate,Course,1 - 3 Months
533,Essential Cloud Infrastructure: Foundation - Bahasa Indonesia,Google Cloud," Cloud Computing, Cloud Infrastructure, Google Cloud Platform",4.9,,,,370,Intermediate,Course,1 - 4 Weeks
534,Deploying SAP on Google Cloud,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Infrastructure, Cloud Platforms, Cloud-Based Integration, Computer Architecture, Computer Networking, Databases, Other Cloud Platforms and Tools, Software As A Service",4.6,,,,170,Beginner,Course,1 - 3 Months
535,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate en Español,Google Cloud," Strategy, Communication, Databases, Leadership and Management, Data Management, Business Analysis, Network Security, Cloud Computing, Database Administration, Market Analysis, Strategy and Operations, Media Strategy & Planning, Cloud Infrastructure, Cloud Platforms, Design and Product, Google Cloud Platform, Kubernetes, Google App Engine, Cloud Storage, Docker (Software)",4.8,,,,1.4K,Intermediate,Specialization,3 - 6 Months
536,TensorFlow on Google Cloud,Google Cloud," Applied Machine Learning, Deep Learning, Machine Learning, Tensorflow, Google Cloud Platform, Artificial Neural Networks, Human Learning, Machine Learning Software, Python Programming, Cloud Computing, Cloud Platforms",4.4,,,,2.7K,Intermediate,Course,1 - 3 Months
537,Google Cloud Digital Leader Training 日本語版,Google Cloud, Cloud Computing,4.5,,,,31,Beginner,Specialization,3 - 6 Months
538,Preparing for Your Associate Cloud Engineer Journey en Español,Google Cloud," Leadership and Management, Strategy, Business Analysis, Communication, Data Management, Databases, Market Analysis, Design and Product, Media Strategy & Planning, Strategy and Operations",4.8,,,,8,Intermediate,Course,1 - 3 Months
539,On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud API",4.7,,,,257,Beginner,Course,1 - 4 Weeks
540,"Data Engineer, Big Data and ML on Google Cloud em Português",Google Cloud," Databases, Computer Networking, Communication, Data Management, Cloud Computing, Network Security, Data Analysis Software, Leadership and Management, Business Analysis, Security Engineering, Computer Architecture, Data Analysis, Data Structures, Digital Marketing, Cloud Infrastructure, Problem Solving, Google Cloud Platform, Networking Hardware, Software Security, Data Warehousing",4.7,,,,122,Intermediate,Specialization,3 - 6 Months
541,On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform,Google Cloud, Cloud Computing,4.7,,,,105,Beginner,Course,1 - 4 Weeks
542,Business Transformation with Google Cloud en Español,Google Cloud," Business Analysis, Business Transformation, Strategy and Operations, Cloud Computing, Operational Analysis, Strategy, Applied Machine Learning, Computer Security Incident Management, People Analysis, Probability & Statistics",4.6,,,,89,Beginner,Course,1 - 3 Months
543,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania," FinTech, Finance, BlockChain, Innovation, Investment Management, Financial Management, Financial Analysis, Risk Management, General Statistics, Payments, Regulations and Compliance, Algorithms, Behavioral Economics, Entrepreneurial Finance, Market Research, Cryptography, Human Learning, Machine Learning Algorithms, Machine Learning Software, Securities Trading, Applied Machine Learning, Machine Learning, Product Strategy, Business Transformation, Systems Design",4.6,https://www.coursera.org/specializations/wharton-fintech,"38,838","Individuals have a great capacity for vocal expression but most people haven’t had the opportunity to explore and develop it. By the end of this course learners will have gained knowledge of how the voice works, had a chance to experiment with different ways of speaking, and increased their confidence in their vocal expression.  
This course is aimed at beginners but can serve as a useful ‘tune up’ for those that have some experience in this area or those that want to build upon prior learning. The only prerequisite is to be curious about voice in action and public speaking. Finding your Professional Voice takes the learner on a journey to discover how the voice works, how it can be optimised their use of it, and how vocal impact can be developed in professional settings.

The content of the course is useful to all learners who have vocal capacity.  Whilst a very few of the exercises would require full physical capacity, those learners physical impairment, or those who do not wish to undertake the movement exercises will still be able to gain useful skills provided by the MOOC content.
",3.5K,Beginner,Specialization,3 - 6 Months
544,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania," FinTech, Finance, Behavioral Economics, BlockChain, Financial Analysis, Financial Management, Market Research, Payments, Risk Management, Regulations and Compliance",4.6,https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations,"19,964","The objective of this course is to acquire proficiency with Field Programmable Gate Arrays (FPGA)s for the purpose of creating prototypes or products for a variety of applications. Although FPGA design can be a complex topic, we will introduce it so that, with a little bit of effort, the basic concepts will be easily learned, while also providing a challenge for the more experienced designer. We will explore complexities, capabilities and trends of Field Programmable Gate Arrays (FPGA) and Complex Programmable Logic Devices (CPLD). Conception, design, implementation, and debugging skills will be practiced. We will learn specifics around embedded IP and processor cores, including tradeoffs between implementing versus acquiring IP. Projects will involve the latest software and FPGA development tools and hardware platforms to help develop a broad perspective of the capabilities of various Programmable SoC solutions. Topics include:
Verilog, VHDL, and RTL design for FPGA and CPLD architectures 
FPGA development tools flow: specify, synthesize, simulate, compile, program and debug 
Configurable embedded processors and embedded software
Use of soft-core and hard-core processors and OS options
FPGA System engineering, software-hardware integration, and testing 
IP development and incorporating 3rd-party IP 
The capstone course will give the learner the opportunity to practice and implement the concepts covered by building FPGA systems based on low cost evaluation boards.
Applied Learning Project
Learners will practice building and testing several FPGA projects using industry standard FPGA hardware development tools by applying skills including VHDL and Verilog coding, programmable logic synthesis and simulation, static timing analysis and FPGA device programming.  The culmination of these efforts will be the construction of a configurable softcore processor system on a chip using the DE10-Lite evaluation board.    
",2.4K,Beginner,Course,1 - 4 Weeks
545,Financial Technology (Fintech) Innovations,University of Michigan," FinTech, Finance, BlockChain, Decision Making, Risk Management, Financial Analysis, Investment Management, Leadership and Management, Critical Thinking, Innovation, Machine Learning, Algorithms, Entrepreneurship, Strategy, Cryptography, Data Mining, Payments, Statistical Analysis, Strategy and Operations, Cyberattacks, Network Security, Statistical Machine Learning, Underwriting, Computer Networking",4.7,https://www.coursera.org/specializations/financialtechnology,"136,571","Financial Planning for Young Adults (FPYA), developed in partnership with the CFP Board, is designed to provide an introduction to basic financial planning concepts for young adults. The FPYA course is organized across eight separate modules within a 4-week window. Topics covered include financial goal setting, saving and investing, budgeting, financial risk, borrowing and credit. Because financial planning is such a personal topic, you will be encouraged to define your own financial goals and objectives while we discuss concepts and provide tools which can be applied in helping you reach those goals.
Within each module, you will view a combination of traditional lecture style videos along with video vignettes that introduce financial topics for discussion among participants. The video vignettes provide a unique and exciting component to this course. Each vignette introduces a real-world scenario where financial decisions must be made and financial planning concepts can be applied. You will be challenged to think critically about each scenario and decide how you might come to a resolution if ever faced with a similar situation.

Finally, the course also includes material throughout which is focused on career opportunities in financial planning, including video interviews with actual CFP® professionals and other professionals working in this exciting and growing career area. The final module in the class is devoted to the topic of financial planning as a career.
",2.4K,Beginner,Specialization,3 - 6 Months
546,The Future of Payment Technologies,University of Michigan," FinTech, Finance, Payments, Innovation",4.7,,,,1.5K,Beginner,Course,1 - 4 Weeks
547,FinTech Law and Policy,Duke University," FinTech, Finance, Regulations and Compliance, Banking, Payments, Financial Management, BlockChain, Entrepreneurial Finance, Accounts Payable and Receivable, Securities Trading",4.8,,,,818,Beginner,Course,1 - 3 Months
548,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology," FinTech, Finance, Risk Management, Banking, Leadership and Management, Innovation, Regulations and Compliance, BlockChain, E-Commerce, Financial Analysis, Business Process Management, Data Analysis, Exploratory Data Analysis, Payments, Business Development, Computer Security Incident Management, Human Factors (Security)",4.7,,,,773,Beginner,Specialization,3 - 6 Months
549,FinTech Foundations and Overview,The Hong Kong University of Science and Technology," BlockChain, FinTech, Finance, Banking, Data Analysis, E-Commerce, Innovation, Payments, Business Development, Exploratory Data Analysis",4.7,,,,480,Beginner,Course,1 - 4 Weeks
550,Fintech Startups in Emerging Markets,University of Cape Town," Finance, FinTech, Regulations and Compliance, Banking, BlockChain, Financial Analysis, Business Development, Cryptography, Entrepreneurship, Securities Trading",4.6,,,,202,Beginner,Specialization,3 - 6 Months
551,Digital Transformation in Financial Services,Copenhagen Business School," FinTech, Finance, Innovation, Banking, Business Transformation, Leadership and Management, Payments, Strategy, Strategy and Operations, BlockChain, Business Analysis, Business Development, Cash Management, Decision Making, Entrepreneurship, Investment Management, Network Analysis, Research and Design",4.4,,,,1.9K,Beginner,Specialization,3 - 6 Months
552,Decentralized Finance (DeFi): The Future of Finance,Duke University," BlockChain, FinTech, Finance, Algorithms, Cryptography, Payments, Banking, Risk Management, Contract Management, Computational Logic, Innovation, Regulations and Compliance, Securities Trading, Strategy and Operations, Cyberattacks, Financial Analysis, Investment Management, Security Engineering",4.8,https://www.coursera.org/specializations/decentralized-finance-duke,"60,101","This Specialization covers data architecture skills that are increasingly critical across a broad range of technology fields. You’ll learn the basics of structured data modeling, gain practical SQL coding experience, and develop an in-depth understanding of data warehouse design and data manipulation. You’ll have the opportunity to work with large data sets in a data warehouse environment to create dashboards and Visual Analytics. You will use of MicroStrategy, a leading BI tool, OLAP (online analytical processing) and Visual Insights capabilities to create dashboards and Visual Analytics. In the final Capstone Project, you’ll apply your skills to build a small, basic data warehouse, populate it with data, and create dashboards and other visualizations to analyze and communicate the data to a broad audience.
",1.7K,Intermediate,Specialization,3 - 6 Months
553,How Software Ate Finance,Stanford University," Finance, Banking, FinTech, Leadership and Management, Financial Management, BlockChain, Investment Management, Market Analysis, Product Strategy, Risk Management, Payments",4.7,,,,122,Mixed,Course,1 - 3 Months
554,FinTech Security and Regulation (RegTech),The Hong Kong University of Science and Technology," FinTech, Regulations and Compliance, Risk Management, Banking, Finance, Financial Analysis, Human Factors (Security), Leadership and Management",4.7,,,,252,Beginner,Course,1 - 3 Months
555,FinTech and the Transformation in Financial Services,Copenhagen Business School," Banking, FinTech, Finance, Payments, BlockChain, Business Transformation, Cash Management, Innovation, Investment Management, Leadership and Management",4.3,,,,1.1K,Beginner,Course,1 - 3 Months
556,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology," Basic Descriptive Statistics, Computer Programming, Data Analysis, Finance, Financial Analysis, Probability & Statistics, Python Programming, Statistical Analysis, General Statistics, Probability Distribution, Statistical Programming, Data Visualization",4.4,https://www.coursera.org/learn/python-statistics-financial-analysis,"205,510","Course Overview: https://youtu.be/JgFV5qzAYno
Python is now becoming the number 1 programming language for data science. Due to python’s simplicity and high readability, it is gaining its importance in the financial industry.  The course combines both python coding and statistical concepts and applies into analyzing financial data, such as stock data.

By the end of the course, you can achieve the following using python:

- Import, pre-process, save and visualize financial data into pandas Dataframe

- Manipulate the existing financial data by generating new variables using multiple columns

- Recall and apply the important statistical concepts (random variable, frequency, distribution, population and sample, confidence interval, linear regression, etc. ) into financial contexts

- Build a trading model using multiple linear regression model 

- Evaluate the performance of the trading model using different investment indicators

Jupyter Notebook environment is configured in the course platform for practicing python coding without installing any client applications.
",4K,Intermediate,Course,1 - 4 Weeks
557,Supply Chain Finance Market and Fintech Ecosystem,New York Institute of Finance," Finance, Supply Chain and Logistics, Supply Chain Systems, FinTech",4.5,,,,68,Intermediate,Course,1 - 4 Weeks
558,FinTech Risk Management,The Hong Kong University of Science and Technology," FinTech, Leadership and Management, Risk Management, Finance, Business Process Management, Computer Security Incident Management, Regulations and Compliance",4.7,,,,181,Beginner,Course,1 - 3 Months
559,Supply Chain Finance and Blockchain Technology,New York Institute of Finance," Supply Chain and Logistics, Supply Chain Systems, Finance, Accounts Payable and Receivable, Supplier Relationship Management, BlockChain, Payments, Cash Management, Financial Accounting, Financial Management, Leadership and Management, Financial Analysis, FinTech, Procurement",4.5,,,,354,Intermediate,Specialization,3 - 6 Months
560,Financial Regulation in Emerging Markets and the Rise of Fintech Companies,University of Cape Town," Finance, Banking, FinTech, Financial Analysis, Regulations and Compliance, Securities Trading",4.6,,,,150,Beginner,Course,1 - 4 Weeks
561,Economics of Money and Banking,Columbia University," Banking, Finance",4.9,https://www.coursera.org/learn/money-banking,"118,884","The University of California San Diego, Skaggs School of Pharmacy and Pharmaceutical Sciences Drug Discovery course brings you lectures from both faculty and industry experts.   With this course, recorded on campus at UCSD, we seek to share our access to top people in the field who bring an unprecedented range of expertise on drug discovery.  
In this course you will learn the drug discovery process up to the filing of an Initial New Drug Application or IND. Each week you will learn the steps that a pharmaceutical or biotech company goes through to discover a new therapeutic drug. In this course you will be able to:

  *   Understand the pharmaceutical and biotechnology market a changing landscape
  *   Learn the major aspects of the drug discovery process, starting with target selection, to compound screening to designing lead candidates.
  *   Recognize current modern drug discovery based on the lock-and-key theory, which attempts to use one single compound to hit one target to combat the related disease.
  *   Increase understanding of the various drug discovery tools and methods that are used for finding, identifying and designing a new drug.
  *   Define and understand the regulatory responsibilities for drug discovery to file an Investigational New Drug Application (IND).

This course is intended as part 1 of a series: Drug Discovery, Drug Development (https://www.coursera.org/learn/drug-development) and Drug Commercialization (https://www.coursera.org/learn/drug-commercialization).  We would highly recommend that you take the courses in order since it will give you a better understanding on how a drug is discovered in the lab before being tested in clinical trials and then launched in the market place.
",1.5K,Mixed,Course,3 - 6 Months
562,"Raising Capital: Credit Tech, Coin Offerings, and Crowdfunding",University of Michigan," FinTech, Finance, Entrepreneurship, Decision Making, Critical Thinking, Innovation, Risk Management, Strategy, Strategy and Operations, Underwriting",4.7,,,,264,Beginner,Course,1 - 4 Weeks
563,Banking and Financial Institutions,University of Illinois at Urbana-Champaign," Accounting, Banking, Finance, Financial Analysis, Leadership and Management, Financial Accounting, Financial Management, Investment Management, Risk Management, Regulations and Compliance",4.8,,,,144,Intermediate,Course,1 - 3 Months
564,"Application of AI, InsurTech, and Real Estate Technology",University of Pennsylvania," FinTech, Applied Machine Learning, Finance, Financial Analysis, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Product Strategy, BlockChain",4.6,,,,490,Mixed,Course,1 - 4 Weeks
565,"Lending, Crowdfunding, and Modern Investing",University of Pennsylvania," FinTech, Finance, Innovation, Entrepreneurial Finance, Financial Management, General Statistics, Investment Management, Risk Management, Securities Trading",4.6,,,,533,Beginner,Course,1 - 4 Weeks
566,Blockchain Revolution,INSEAD," BlockChain, Finance, FinTech, Innovation, Cryptography, Strategy and Operations, System Security, Distributed Computing Architecture, Leadership and Management, Contract Management, Entrepreneurship, Network Model, Network Security, Regulations and Compliance, Research and Design, Strategy, Human Resources, Risk Management, Software Security, Recruitment",4.7,https://www.coursera.org/specializations/blockchain-revolution-enterprise,"35,549","This specialization is intended for public health and healthcare  professionals, researchers, data analysts, social workers, and others who need a comprehensive concepts-centric biostatistics primer.  Those who complete the specialization will be able to read and respond to the scientific literature, including the Methods and Results sections, in public health, medicine, biological science, and related fields. Successful learners will also be prepared to participate as part of a research team.
Applied Learning Project
In each course, learners will assume the role of a biostatistical consultant helping research teams review and interpret the published scientific literature. Throughout the specializations, learners will return to two important studies, one on asthma medication and another on injectable contraception, to answer the researchers' questions about the published statistical methods and results. 
",2.9K,Beginner,Specialization,3 - 6 Months
567,Blockchain Revolution in Financial Services,INSEAD," BlockChain, Finance, Cryptography, FinTech, Business Transformation, Innovation, Distributed Computing Architecture, Payments, Leadership and Management, System Security, Network Security, Accounting, Banking, Business Process Management, Contract Management, Financial Accounting, Financial Management, Problem Solving, Security Strategy",4.7,https://www.coursera.org/specializations/blockchain-financial-services,"108,717","This specialization introduces blockchain, a revolutionary technology that enables peer-to-peer transfer of digital assets without any intermediaries, and is predicted to be just as impactful as the Internet. More specifically, it prepares learners to program on the Ethereum blockchain. The four courses provide learners with (i) an understanding and working knowledge of foundational blockchain concepts, (ii) a skill set for designing and implementing smart contracts, (iii) methods for developing decentralized applications on the blockchain, and (iv) information about the ongoing specific industry-wide blockchain frameworks.
The specialization covers a range of essential topics, from the cryptographic underpinnings of blockchain technology to enabling decentralized applications on a private Ethereum blockchain platform. 
It is ideal for programmers and designers involved in developing and implementing blockchain applications, and anyone who is interested in understanding its potential. 
Applied Learning Project
Learners will apply the concepts covered in the courses to deploy an instance of a blockchain and carry out peer-to-peer transactions, program and test smart contracts using Solidity language; and analyze, design and code a blockchain-based solution for decentralized applications.
",934,Beginner,Specialization,3 - 6 Months
568,Building Fintech Startups in Emerging Markets,University of Cape Town," Business Development, Entrepreneurship, FinTech",4.7,,,,30,Beginner,Course,1 - 4 Weeks
569,Entrepreneurial Finance: Strategy and Innovation,Duke University," Finance, Entrepreneurial Finance, Risk Management, Probability & Statistics, R Programming, Entrepreneurship, Data Analysis, Investment Management, Statistical Analysis, Statistical Programming, Financial Analysis, Leadership and Management, BlockChain, Cryptography, FinTech, Statistical Tests, Financial Management, Algorithms, Innovation, System Security, Microsoft Excel",4.5,https://www.coursera.org/specializations/entrepreneurial-finance,"55,842","Today’s professional environment is highly competitive, continuously changingOpens in a new tab, and difficult to manage. Employees rarely reach positions of leadership without managing one or more projects or a project segment early in their career.  
Brought to you by the Rice Center of Engineering Leadership and team behind the engineering management master's programOpens in a new tab, the goal of this Specialization is to give you the tools to more effectively and successfully manage projects; to give you a solid foundation of knowledge, skills, and confidence that sets you apart and gives you a competitive edge as you move toward leadership positions.
This Project Management for Engineering Professionals Specialization is designed as an introduction to Project Management. It is targeted for engineers who are interested in improving their project management skills in a new leadership positionOpens in a new tab or in advance of their first leadership position. As part of the Specialization, you will prepare key Project Execution Plan documents based on available templates. 
Applied Learning Project
As part of the specialization, learners will review an engineering case study and prepare a Project Charter, a Stakeholder Engagement Matrix, Statement of Work, Work Breakdown Structure, Project Schedule, Project Estimate, Project Risk Matrix and Project Cause and Effect Diagram based on the facts of the case.  The learners will also be asked to calculate project progress based on the Earned Value method.
",1.3K,Intermediate,Specialization,3 - 6 Months
570,Decentralized Finance (DeFi) Opportunities and Risks,Duke University," BlockChain, FinTech, Finance, Cyberattacks, Risk Management, Security Engineering",4.9,,,,242,Intermediate,Course,1 - 3 Months
571,Decentralized Finance (DeFi) Infrastructure,Duke University," BlockChain, Cryptography, FinTech, Finance, Algorithms, Banking, Payments, Innovation, Regulations and Compliance, Risk Management",4.8,,,,1.3K,Beginner,Course,1 - 4 Weeks
572,Blockchain Business Models,Duke University," BlockChain, Cryptography, Finance, Entrepreneurial Finance, FinTech, Algorithms, Innovation, System Security",4.7,,,,349,Intermediate,Course,1 - 3 Months
573,Introduction to Blockchain for Financial Services,INSEAD," BlockChain, Cryptography, Finance, Distributed Computing Architecture, Innovation, Network Security, Business Transformation, FinTech, Problem Solving, Security Strategy",4.7,,,,631,Beginner,Course,1 - 3 Months
574,Creating and Developing a Tech Startup,École Polytechnique," Entrepreneurship, Innovation, Leadership and Management, Strategy, Strategy and Operations, Planning",4.1,,,,93,Mixed,Course,1 - 3 Months
575,Agile with Atlassian Jira,Atlassian," Agile Software Development, Leadership and Management, Planning, Product Development, Product Management, Project Management, Scrum (Software Development), Software Engineering, Software Testing, Technical Product Management, Jira (Software)",4.7,https://www.coursera.org/learn/agile-atlassian-jira,"282,500","This course discusses common foundational principles and practices used by agile methodologies, providing you with a flexible set of tools to use in your role (e.g. product owner, scrum master, project manager, team member) on an agile team. Learn agile and lean principles, including kanban and scrum, and use Jira Software Cloud as the tool to apply hands-on exercises in these topics. The course includes instruction on company-managed and team-managed Jira projects. 
After completing this course, you will have a strong foundational understanding of agile principles and practices and hands-on experience with Jira Software Cloud. Site administrators will be able to perform basic administration tasks. You will be able to continuously configure your Jira projects to match your team's custom agile methodology.

Once completing this course, you will be prepared to earn your first Atlassian credential: https://go.atlassian.com/coursera-apb-330

*You can use a free Jira Software Cloud site to complete the hands-on labs associated with this course. This will require a Windows, Mac, or Linux computer.
",8.4K,Beginner,Course,1 - 4 Weeks
576,How Entrepreneurs in Emerging Markets can master the Blockchain Technology,University of Cape Town," BlockChain, Cryptography, Entrepreneurship",4.6,,,,39,Beginner,Course,1 - 4 Weeks
577,Marketing Digital,Universidade de São Paulo," Digital Marketing, Marketing, Customer Analysis, Market Analysis, Social Media, E-Commerce, Strategy, Marketing Management, Media Strategy & Planning, Product Marketing, Search Engine Optimization",4.8,https://www.coursera.org/learn/estrategia-marketing-digital,"224,172","Aprenda a desenvolver a estratégia de marketing digital para a sua empresa ou startup, nesse curso você irá aprender sobre os principais pontos do Marketing como ROI, SEO, SEM, Testes AB e como gerenciar o funil de conversão e também como usar plataformas como Google adwords e Analytics, Facebook Ads e Email Marketing.
Esse curso é ministrado por profissionais do mercado que vão apresentar como aplicar cada um dos conceitos com aulas teóricas e práticas.

Neste curso serão abordados os seguintes temas:
Diferença entre o marketing tradicional
Importância do ROI e como calcular
Introdução a funil
Google Analytics
Google Adwords 
Tipos de canais
Como funciona SEM
Como funciona SEO
Como funciona Facebook Ads
Como funciona Email Marketing
Configurando e planejando campanhas
Testes AB
Como escolher sua estratégia
Metrificação e iteração

Ao final desse curso, esperamos que você esteja familiarizado com os principais conceitos, ferramentas e metodologias do marketing digital.

Não deixe de ver as perguntas frequentes antes de se inscrever

Conheça os nossos outros cursos:
- Criação de Startups: Como desenvolver negócios inovadores
       https://www.coursera.org/learn/criacao-startups  
- UX / UI: Fundamentos para o design de interface
       https://www.coursera.org/learn/ux-ui-design-de-interface 
- Consolidando empresas: Estrutura jurídica e financeira
       https://www.coursera.org/learn/consolidando-empresas
- Inove na gestão de equipes e negócios: o crescimento da empresa
       https://www.coursera.org/learn/gestao-equipes-negocios 
- Marketing e vendas B2B: fechando novos negócios
       https://www.coursera.org/learn/marketing-vendas-b2b
",2.1K,Beginner,Course,1 - 3 Months
578,Financing for Startup Businesses,Duke University," Entrepreneurial Finance, Finance, Entrepreneurship, Financial Analysis, FinTech, Financial Management, Investment Management, Microsoft Excel",4.5,,,,204,Intermediate,Course,1 - 4 Weeks
579,Innovations in Investment Technology: Artificial Intelligence,University of Michigan," FinTech, Finance, Machine Learning, Algorithms, Investment Management, Leadership and Management, Risk Management, Decision Making, Statistical Analysis, Statistical Machine Learning",4.7,,,,329,Beginner,Course,1 - 4 Weeks
580,Blockchain and Business,INSEAD," BlockChain, FinTech, Finance, Strategy and Operations, Entrepreneurship, Contract Management, Human Resources, Leadership and Management, Research and Design, Recruitment, Strategy",4.7,,,,405,Mixed,Course,1 - 3 Months
581,Introduction to Blockchain,Association of International Certified Professional Accountants," BlockChain, Cryptography, Benefits",4.6,,,,163,Beginner,Specialization,1 - 3 Months
582,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology," Security Engineering, Strategy and Operations, Change Management, Audit, Leadership and Management, Risk Management",4.7,https://www.coursera.org/learn/information-systems-audit,"78,740","The course is awarded The Best Free Online Courses of All Time, and Best Online Courses of the Year (2021 Edition) by Class Central (http://www.classcentral.com).
---
Information systems (IS) are important assets to business organizations and are ubiquitous in our daily lives. 

With the latest IS technologies emerging, such as Big Data, FinTech, Virtual Banks, there are more concerns from the public on how organizations maintain systems’ integrity, such as data privacy, information security, the compliance to the government regulations. Management in organizations also need to be assured that systems work the way they expected. IS auditors play a crucial role in handling these issues.

In the course “Information Systems Auditing, Controls and Assurance”, you will explore risks of information systems, and how to mitigate the risks by proper IS Controls. You will also get familiar with the IS Audit procedures and how they are applied during the IS development throughout the Systems Development Life Cycle (SDLC). 

Finally, you will get to observe how we can make the system changes more manageable using formal IS Management practices, such as Change Management Controls and Emergency Changes. 

The conversations between the course instructor - Prof. Percy Dias, and the IS auditing practitioner will give you a concrete idea on how IS auditors perform their duties, the qualities to become IS auditors and future prospects of IS auditing industry.

This course is suitable for students and graduates from Information Systems, Information Technology and Computer Science, and IT practitioners who are interested to get into the IS auditing field. It is also a good starting point for learners who would like to pursue further studies for IS audit certifications – such as Certified Information Systems Auditor (CISA).
",3.2K,Beginner,Course,1 - 4 Weeks
583,Blockchain Transformations of Financial Services,INSEAD," BlockChain, Business Transformation, Finance, Accounting, FinTech, Financial Accounting, Innovation, Banking, Financial Management, Payments",4.7,,,,173,Beginner,Course,1 - 4 Weeks
584,Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania," BlockChain, FinTech, Finance, Cryptography, Investment Management, Algorithms, Business Transformation, Financial Management, Innovation, Systems Design",4.6,,,,1.4K,Mixed,Course,1 - 4 Weeks
